                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.2817,                0.99215,                 1.1543,                0.67922,                0.62608,                0.64141,                 0.3978,                 1.7172,                 1.1283,                  1.301,             0.00033913,             0.00033913,             0.00033913
                     68,                  1.276,                0.98237,                 1.1409,                 0.6509,                0.64182,                0.60901,                0.37342,                 1.7189,                 1.1752,                 1.3109,             0.00033665,             0.00033665,             0.00033665
                     69,                 1.2846,                0.98029,                 1.1499,                 0.6493,                0.57131,                0.61937,                0.37508,                 1.7423,                 1.2234,                 1.3276,             0.00033418,             0.00033418,             0.00033418
                     70,                 1.2799,                0.95905,                 1.1239,                0.71054,                0.58873,                0.61282,                0.37273,                 1.7281,                 1.2041,                 1.3199,              0.0003317,              0.0003317,              0.0003317
                     71,                 1.2813,                0.96674,                 1.1323,                0.62821,                0.67204,                0.63257,                0.38775,                 1.7316,                 1.1479,                 1.3262,             0.00032922,             0.00032922,             0.00032922
                     72,                 1.2728,                0.95452,                 1.1254,                0.67504,                0.63109,                0.64474,                0.39688,                 1.7353,                 1.1165,                 1.3284,             0.00032675,             0.00032675,             0.00032675
                     73,                 1.2833,                0.97233,                 1.1714,                0.70748,                 0.6396,                0.66249,                0.40716,                 1.7025,                 1.0874,                 1.3097,             0.00032428,             0.00032428,             0.00032428
                     74,                 1.2731,                0.93821,                 1.1234,                0.67269,                0.65417,                0.64959,                 0.4001,                  1.713,                 1.0882,                 1.3157,              0.0003218,              0.0003218,              0.0003218
                     75,                 1.2329,                0.92296,                 1.1168,                0.65455,                0.62983,                 0.6538,                0.40186,                 1.7305,                 1.1347,                 1.3203,             0.00031933,             0.00031933,             0.00031933
                     76,                 1.2581,                0.92439,                 1.1083,                0.64728,                0.68138,                0.65485,                0.40302,                 1.7056,                 1.1096,                 1.3049,             0.00031685,             0.00031685,             0.00031685
                     77,                 1.2369,                0.91348,                 1.1194,                0.68663,                0.68444,                0.68292,                0.41653,                 1.7316,                 1.1172,                 1.3188,             0.00031438,             0.00031438,             0.00031438
                     78,                 1.2472,                0.92699,                 1.1176,                0.62519,                0.69218,                0.66203,                 0.3978,                 1.7294,                 1.1394,                 1.3308,              0.0003119,              0.0003119,              0.0003119
                     79,                 1.2486,                0.93569,                 1.1295,                0.69265,                0.61908,                0.65281,                 0.3949,                 1.7336,                 1.1278,                 1.3351,             0.00030942,             0.00030942,             0.00030942
                     80,                 1.2737,                0.94108,                 1.1224,                0.79074,                0.59757,                0.65868,                0.40401,                 1.7335,                 1.1509,                 1.3349,             0.00030695,             0.00030695,             0.00030695
                     81,                 1.2582,                0.91625,                  1.119,                0.74826,                0.64081,                0.65805,                0.40817,                 1.7469,                 1.1292,                 1.3477,             0.00030448,             0.00030448,             0.00030448
                     82,                 1.2155,                  0.892,                 1.1194,                0.76289,                0.62042,                0.66582,                 0.4107,                  1.738,                 1.1083,                 1.3194,               0.000302,               0.000302,               0.000302
                     83,                 1.2355,                0.90948,                 1.1239,                0.72099,                0.65307,                0.68366,                0.42814,                 1.6929,                 1.0664,                 1.2993,             0.00029952,             0.00029952,             0.00029952
                     84,                 1.2569,                0.91774,                 1.1445,                0.76096,                0.63927,                0.67285,                0.41928,                 1.7079,                 1.1061,                 1.3114,             0.00029705,             0.00029705,             0.00029705
                     85,                 1.2511,                0.91613,                 1.1209,                0.62873,                0.70202,                0.66399,                0.41409,                 1.7151,                 1.1208,                 1.3127,             0.00029457,             0.00029457,             0.00029457
                     86,                 1.2389,                0.90828,                 1.1167,                0.71302,                0.62788,                0.68096,                0.42049,                 1.7187,                 1.1064,                 1.3151,              0.0002921,              0.0002921,              0.0002921
                     87,                 1.2179,                0.87161,                 1.1045,                0.72706,                0.65821,                0.69099,                0.43362,                 1.7101,                 1.0748,                 1.3033,             0.00028962,             0.00028962,             0.00028962
                     88,                   1.26,                0.89606,                 1.1093,                 0.7217,                0.67925,                0.69354,                 0.4346,                 1.7157,                 1.0653,                 1.3172,             0.00028715,             0.00028715,             0.00028715
                     89,                 1.2393,                0.90552,                 1.1223,                0.75583,                0.65738,                0.69149,                0.42625,                 1.7246,                 1.0774,                 1.3243,             0.00028467,             0.00028467,             0.00028467
                     90,                  1.242,                0.87492,                 1.1039,                 0.7216,                0.67253,                0.68916,                0.43105,                 1.7368,                 1.0881,                 1.3204,              0.0002822,              0.0002822,              0.0002822
                     91,                 1.1929,                0.88049,                 1.1063,                 0.6945,                0.63989,                0.66566,                0.41704,                 1.7265,                 1.1171,                 1.3107,             0.00027972,             0.00027972,             0.00027972
                     92,                 1.1942,                0.86701,                 1.1011,                0.64362,                0.66388,                0.66296,                0.41454,                 1.7301,                 1.1098,                 1.3118,             0.00027725,             0.00027725,             0.00027725
                     93,                 1.2232,                0.87754,                 1.1138,                0.66484,                0.67347,                0.66928,                0.41375,                 1.7141,                 1.0823,                 1.3038,             0.00027477,             0.00027477,             0.00027477
                     94,                 1.2218,                0.87268,                 1.1158,                0.67415,                0.63412,                0.65317,                0.39869,                 1.7247,                 1.0977,                 1.3258,              0.0002723,              0.0002723,              0.0002723
                     95,                 1.2347,                0.87104,                 1.0981,                0.70186,                0.64435,                0.67211,                0.39869,                 1.7355,                 1.0807,                 1.3318,             0.00026983,             0.00026983,             0.00026983
                     96,                 1.2003,                0.86029,                 1.0946,                0.67776,                0.68894,                 0.6818,                0.42619,                 1.6937,                 1.0605,                 1.3063,             0.00026735,             0.00026735,             0.00026735
                     97,                 1.1751,                0.83988,                 1.1002,                0.69461,                0.68302,                0.69842,                 0.4376,                 1.6921,                 1.0565,                 1.3063,             0.00026488,             0.00026488,             0.00026488
                     98,                 1.2094,                0.87285,                 1.1031,                0.72627,                 0.6257,                0.68401,                0.41178,                 1.7029,                 1.0814,                 1.3055,              0.0002624,              0.0002624,              0.0002624
                     99,                 1.1971,                0.85671,                 1.1206,                0.70627,                0.66868,                0.69103,                0.42284,                 1.7379,                 1.0544,                  1.327,             0.00025993,             0.00025993,             0.00025993
                    100,                 1.2035,                0.84082,                 1.1077,                0.79223,                0.63561,                0.69592,                0.42681,                 1.7304,                 1.0554,                 1.3225,             0.00025745,             0.00025745,             0.00025745
                    101,                 1.1985,                0.83012,                  1.101,                0.71048,                0.65836,                0.69577,                0.43149,                 1.7242,                 1.0548,                 1.3121,             0.00025498,             0.00025498,             0.00025498
                    102,                 1.2147,                0.83946,                 1.1009,                0.75197,                0.64239,                0.70724,                0.43129,                 1.7314,                 1.0427,                 1.3175,              0.0002525,              0.0002525,              0.0002525
                    103,                 1.1921,                0.84167,                 1.1012,                 0.7461,                0.67215,                0.70099,                0.42781,                 1.7468,                  1.045,                 1.3236,             0.00025003,             0.00025003,             0.00025003
                    104,                 1.2017,                0.83928,                 1.0924,                0.70254,                0.65536,                0.68272,                0.41883,                 1.7459,                 1.0609,                 1.3241,             0.00024755,             0.00024755,             0.00024755
                    105,                 1.1783,                0.81786,                 1.0891,                0.71402,                0.67595,                0.69936,                0.42348,                   1.77,                 1.0486,                 1.3376,             0.00024507,             0.00024507,             0.00024507
                    106,                 1.1833,                0.82221,                 1.0865,                 0.7146,                0.69627,                0.70058,                 0.4404,                 1.7221,                  1.028,                 1.3052,              0.0002426,              0.0002426,              0.0002426
                    107,                 1.1775,                0.82568,                 1.0794,                0.69378,                0.68683,                0.69918,                0.43051,                 1.7516,                 1.0315,                  1.326,             0.00024013,             0.00024013,             0.00024013
                    108,                 1.1861,                0.83186,                 1.0935,                0.68226,                0.69371,                0.68598,                0.42444,                 1.7253,                 1.0178,                 1.3139,             0.00023765,             0.00023765,             0.00023765
                    109,                 1.1784,                0.81308,                 1.0897,                0.76237,                0.66977,                 0.6933,                 0.4247,                 1.7431,                 1.0534,                 1.3288,             0.00023518,             0.00023518,             0.00023518
                    110,                 1.1858,                0.81656,                  1.086,                0.76204,                0.64639,                0.70204,                 0.4379,                 1.7226,                 1.0588,                 1.3227,              0.0002327,              0.0002327,              0.0002327
                    111,                 1.1658,                0.80846,                 1.0683,                0.71559,                0.67029,                0.68751,                0.43056,                 1.7482,                 1.0726,                 1.3225,             0.00023022,             0.00023022,             0.00023022
                    112,                 1.1671,                0.80912,                 1.0779,                 0.6779,                0.65213,                0.69055,                0.42794,                 1.7428,                 1.0758,                 1.3339,             0.00022775,             0.00022775,             0.00022775
                    113,                 1.1799,                0.82367,                 1.0728,                0.73372,                0.62365,                0.67794,                0.42106,                 1.7322,                 1.0914,                 1.3327,             0.00022527,             0.00022527,             0.00022527
                    114,                 1.1428,                0.79148,                 1.0742,                0.76081,                 0.6442,                0.69499,                0.42979,                 1.7674,                 1.0735,                 1.3406,              0.0002228,              0.0002228,              0.0002228
                    115,                 1.1822,                  0.801,                 1.0742,                0.73438,                0.64939,                0.67589,                0.41879,                 1.7415,                 1.0795,                 1.3418,             0.00022033,             0.00022033,             0.00022033
                    116,                 1.1483,                0.77822,                  1.072,                0.76521,                0.62457,                0.67769,                0.42327,                 1.7352,                 1.0676,                 1.3325,             0.00021785,             0.00021785,             0.00021785
                    117,                  1.161,                0.81652,                 1.0828,                0.71525,                 0.6767,                 0.6917,                0.42987,                 1.7304,                 1.0463,                 1.3219,             0.00021538,             0.00021538,             0.00021538
                    118,                 1.1664,                0.79492,                 1.0737,                0.73249,                0.67258,                0.69092,                0.42929,                 1.7269,                 1.0302,                 1.3157,              0.0002129,              0.0002129,              0.0002129
                    119,                 1.1713,                0.79654,                 1.0795,                 0.7217,                0.68501,                0.69824,                0.43477,                 1.7284,                 1.0245,                 1.3185,             0.00021043,             0.00021043,             0.00021043
                    120,                 1.1355,                0.76654,                 1.0672,                0.72805,                0.67974,                0.70645,                0.43492,                 1.6969,                0.99981,                  1.305,             0.00020795,             0.00020795,             0.00020795
                    121,                  1.123,                0.75384,                 1.0685,                0.73041,                0.67185,                0.70012,                0.43608,                 1.7111,                 1.0199,                 1.3225,             0.00020548,             0.00020548,             0.00020548
                    122,                 1.1293,                0.77707,                  1.054,                0.76141,                0.65685,                0.70076,                0.43723,                 1.7236,                 1.0407,                 1.3271,               0.000203,               0.000203,               0.000203
